id,parent,iso3166-1:alpha2,name,urls,iso3166-2,short_code
belarus,europe,['BY'],Belarus,"{'pbf': 'https://download.geofabrik.de/europe/belarus-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/belarus-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/belarus-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/belarus-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/belarus-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/belarus/', 'updates': 'https://download.geofabrik.de/europe/belarus-updates'}",,BY
belgium,europe,['BE'],Belgium,"{'pbf': 'https://download.geofabrik.de/europe/belgium-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/belgium-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/belgium-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/belgium-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/belgium-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/belgium/', 'updates': 'https://download.geofabrik.de/europe/belgium-updates'}",,BE
belize,central-america,['BZ'],Belize,"{'pbf': 'https://download.geofabrik.de/central-america/belize-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/central-america/belize-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/central-america/belize-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/central-america/belize-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/central-america/belize-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/central-america/belize/', 'updates': 'https://download.geofabrik.de/central-america/belize-updates'}",,BZ
benin,africa,['BJ'],Benin,"{'pbf': 'https://download.geofabrik.de/africa/benin-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/africa/benin-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/africa/benin-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/africa/benin-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/africa/benin-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/africa/benin/', 'updates': 'https://download.geofabrik.de/africa/benin-updates'}",,BJ
berkshire,england,,Berkshire,"{'pbf': 'https://download.geofabrik.de/europe/great-britain/england/berkshire-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/great-britain/england/berkshire-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/great-britain/england/berkshire-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/great-britain/england/berkshire-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/great-britain/england/berkshire-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/great-britain/england/berkshire/', 'updates': 'https://download.geofabrik.de/europe/great-britain/england/berkshire-updates'}",,
berlin,germany,,Berlin,"{'pbf': 'https://download.geofabrik.de/europe/germany/berlin-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/germany/berlin-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/germany/berlin-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/germany/berlin-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/germany/berlin-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/germany/berlin/', 'updates': 'https://download.geofabrik.de/europe/germany/berlin-updates'}",,
bhutan,asia,['BT'],Bhutan,"{'pbf': 'https://download.geofabrik.de/asia/bhutan-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia/bhutan-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/asia/bhutan-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia/bhutan-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia/bhutan-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/bhutan/', 'updates': 'https://download.geofabrik.de/asia/bhutan-updates'}",,BT
bolivia,south-america,['BO'],Bolivia,"{'pbf': 'https://download.geofabrik.de/south-america/bolivia-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/south-america/bolivia-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/south-america/bolivia-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/south-america/bolivia-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/south-america/bolivia-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/south-america/bolivia/', 'updates': 'https://download.geofabrik.de/south-america/bolivia-updates'}",,BO
bosnia-herzegovina,europe,['BA'],Bosnia-Herzegovina,"{'pbf': 'https://download.geofabrik.de/europe/bosnia-herzegovina-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/bosnia-herzegovina-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/bosnia-herzegovina-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/bosnia-herzegovina-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/bosnia-herzegovina-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/bosnia-herzegovina/', 'updates': 'https://download.geofabrik.de/europe/bosnia-herzegovina-updates'}",,BA
botswana,africa,['BW'],Botswana,"{'pbf': 'https://download.geofabrik.de/africa/botswana-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/africa/botswana-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/africa/botswana-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/africa/botswana-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/africa/botswana-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/africa/botswana/', 'updates': 'https://download.geofabrik.de/africa/botswana-updates'}",,BW
